Title,Name_of_the_company,Request_Category,Description,Estimated_Value,Supplier_info,Link,Keyword
Framework Agreement for the Provision of Digital Connectivity Services, North Lanarkshire Council ," computer related services , telecoms services , data services , IT services , network equipment , IT consultancy , telecoms equipment , software development services , software and information systems , technical maintenance ","""The Council is embarking on a landmark investment in digital infrastructure and services to ensure it has access to unlock the potential for cost savings, improved productivity, enhanced service delivery and ensuring the Council is at the forefront of being an attractive, modern and inclusive touchpoint for its citizens.

The Council is therefore procuring a long term single supplier Framework Agreement to support the Council's ambition to:

i)  enhance the coverage and reach of gigabit networks across North Lanarkshire,

ii)  drive the take up of gigabit networks,

iii)  create choice and competition for those living, learning, working, investing and visiting North Lanarkshire, and

iv)  ensure North Lanarkshire's digital infrastructure is future proof and will lead to smart and sustainable outcomes.

The Framework Agreement will enable the Council (and any of the contracting authorities identified at Section VI.3) to access the following initial and future ICT services from the Service Provider over the duration of the Framework Agreement: Initial Services - Wide Area Network (WAN) connectivity (Call-Off

1)  - Fibre connectivity to ‘Analogue Sites’ (Call-Off

2)  - Fibre connectivity to CCTV sites (Call-Off

3)  - Internet access (Call-Off

4)  - Indoor and public WiFi (Call-Off

5).  Future ICT Services may include: - Pilot / concept projects. - Traffic light connectivity - Active bandwidth services to Analogue only sites - Enterprise telephony (fixed, cellular, analogue circuit replacement) - Social / affordable broadband - Private 5G

-  Provision of Public WiFi in Corporate and Education sites

-  Internet of Things (IoT) networks and other ‘Smart Place’ initiatives to support the Councils digital ambition

-  Data centre services

-  Azure Express Route services

-  Security services

-  Cloud connectivity

-  Remote access

-  Network services.

from the Service Provider over the duration of the Framework Agreement.",150M," computer related services , telecoms services , data services , IT services , network equipment , IT consultancy , telecoms equipment , software development services , software and information systems , technical maintenance ",https://bidstats.uk//tenders/2021/W20/751042640,IoT
SMART Technology Adoption for Digital Innovation Acceleration Support for Businesses, Welsh Government ," management consultancy , engineering design , IT consultancy ","The Welsh Government is seeking to engage with quality providers to deliver a service that will support businesses across Wales to embrace digital and automation technologies, employing an Industry 4.0 approach to create a more resilient manufacturing base, and so a more resilient Wales.",450K," management consultancy , engineering design , IT consultancy ",https://bidstats.uk//tenders/2021/W20/751042783,IoT
IoT Centre at City Of Oxford College, Craig Pullen Consulting , building construction work ,"Demolition of existing single storey structure to the front of the building.

External alterations to facilitate the use of existing campus building (Block V) as an Institute of Technology.

Associated landscaping and provision of car parking and cycle stores.",3M, building construction work ,https://bidstats.uk//tenders/2021/W29/755302423,IoT
GB-Middlesbrough: IOT Platform, Teesside University , software and information systems ,"Teesside University is an ambitious and enterprising university for a focused and pragmatic global new generation. Focused on making a real difference to the lives of people and the success of businesses and the economy.

The new open access Industrial Digitalisation Technology Centre (IDTC) will provide a range of knowledge transfer activities designed to grow absorptive capacity and drive digitalisation into regional SME's. It will provide a collaborative working space and drive awareness of the benefits of industrial digitisation.

We are looking for a cloud-based management and IOT platform to bridge engineering automation, industrial control, data capture and data processing. The platform will be accessible to Tees Valley SMEs through the project. This will give them access to IOT devices, industrial communications, automation, and business management systems.

The platform will primarily be used for demonstration and R&D on the university campus but will enable remote access via sub-tenancies or defined user groups to businesses to enable them to trial or deploy developed solutions.",50K-£100K, software and information systems ,https://bidstats.uk//tenders/2021/W26/753729889,IoT
TEC PARTNERSHIP/Modal Training The provision of GMDSS courseware and establishment of an AMERC approved examination coordination centre, Tec Partnership , education and training ,"Humber Maritime College (HMC), located at Immingham on the South Bank of the River Humber in the UK, is a recently established maritime training college and is a part of the TEC Partnership of FE and HE Colleges.

Humber Maritime College is the trading name for the provision of maritime education undertaken by MODAL Training Limited which is 100% owned by TEC Partnership, a group of dynamic and innovative further and higher education colleges and training providers.

HMC is in the process of setting up a GMDSS training facility, to be approved by AMERC, for the delivery of GOC, ROC and LRC courses using a simulation based training software and hardware package provided by Transas / Wartsila.

HMC is tendering for the provision of the following services:

Course materials for the holding of GOS, ROC and LRC courses. To include course timetabling, lesson plans, scheme of work, course notes, in-course assessments and other support material.

The development of administrative procedures and QA documents, to be adopted by HMC, sufficient for AMERC approval as an Examination Coordination Centre.

The delivery of initial GOC and ROC courses as required for AMERC approval.

The training and development of regionally based lecturers to the level of Approved Examiner.

TEC Partnership and MODAL Training Ltd is part of a unique collaboration between higher and further education providers and employers to establish an Institute of Technology (IoT) in Lincolnshire. The IoT will specialise in delivering higher-level technical skills which aim to help close skills gaps and improve productivity. MODAL are leading on a programme to develop the maritime cadets for the future.",1, education and training ,https://bidstats.uk//tenders/2021/W26/753991739,IoT
CA7925 - Milton Keynes College - IoT - Marketing Services, Milton Keynes College ," advertising services , marketing services ","Milton Keynes College - IoT - Marketing Services\

\

To access this competition: \

\

Registered:\

Login to",___," advertising services , marketing services ",https://bidstats.uk//tenders/2020/W47/739180854,IoT
2663/MH 5G Core Test Bed, Sheffield University , telecoms equipment ,"The University of Sheffield is out to tender on behalf of it's Advanced Manufacturing Research Centre's (AMRC) North West branch, to supply a 5G test bed which is required to be 5G stand-alone (SA) single cell mobile private network (MPN). This shall be used for testing and system performance verification purposes. AMRC NW will use this solution for R&D activity relating to the development of high-speed networking and manufacturing related 5G solutions. It will enable increased data volumes across the shop floor. Additionally, it will help develop a range of smart technologies for the IOT and communication industries based on 5G. Initial installation shall be at the AMRC NW facility in Preston.

This Test bed must include a full end to end integrated solution, including mobile core, radio equipment, IP connectivity and end devices. The equipment should have low latency, and must be 5G SA to support various projects. This equipment is expected to be interfaced with multiple end devices sending data through the use of pre integrated set of applications that are relevant to the manufacturing industry including but not limited to smart manufacturing, predictive maintenance, remote operations, etc. With the possibility of additional applications through an API, with the main focus being on real time applications.

Tender Process and Documentation:",100K-£125K, telecoms equipment ,https://bidstats.uk//tenders/2020/W41/736362808,IoT
2692/MH 5G Core Test Bed, Sheffield University , telecoms equipment ,"The University of Sheffield is out to tender on behalf of it's Advanced Manufacturing Research Centre's (AMRC) North West branch, to supply a 5G test bed which is required to be 5G stand-alone (SA) single cell mobile private network (MPN). This shall be used for testing and system performance verification purposes. AMRC NW will use this solution for R&D activity relating to the development of high-speed networking and manufacturing related 5G solutions. It will enable increased data volumes across the shop floor. Additionally, it will help develop a range of smart technologies for the IOT and communication industries based on 5G. Initial installation shall be at the AMRC NW facility in Preston.

This Test bed must include a full end to end integrated solution, including mobile core, radio equipment, IP connectivity and end devices. The equipment should have low latency, and must be 5G SA to support various projects. This equipment is expected to be interfaced with multiple end devices sending data through the use of pre integrated set of applications that are relevant to the manufacturing industry including but not limited to smart manufacturing, predictive maintenance, remote operations, etc. With the possibility of additional applications through an API, with the main focus being on real time applications.

Tender Process and Documentation:",100K-£125K, telecoms equipment ,https://bidstats.uk//tenders/2020/W41/736559397,IoT
Milton Keynes College — IoT — Marketing Services, Milton Keynes College ," marketing services , advertising services ",Milton Keynes College — IoT — marketing services.,___," marketing services , advertising services ",https://bidstats.uk//tenders/2020/W47/739311755,IoT
Midlands Connect Specialist Technical Framework, West Midlands Combined Authority ," consultancy services , research consultancy services ",The WMCA and Midlands Connect are seeking to procure a specialist consultancy framework to aid with the delivery of their Technical Programme for 2021 and beyond.,5M," consultancy services , research consultancy services ",https://bidstats.uk//tenders/2020/W50/740687949,IoT
Establishing the Betaden Commercial Model and Proposition to Raise Private Sector Funding and Investment, Worcestershire County Council ," finance and insurance , financial services , business services ","BetaDen is Worcestershire's only dedicated technology accelerator. Supported by Worcestershire Local Enterprise Partnership (WLEP) and launched in September 2018, it has delivered two pilot cohorts of 6-8 technology-based entrepreneurs with the final pilot, Cohort 3.0, scheduled to complete at the end of February 2021.

To date, the Betaden offer to cohorts has been a nine-month programme, valued up to c.£50k, providing specialist mentoring, business coaching, funding and premises, located at Malvern Hills Science Park (MHSP). The Betaden offices are co-located with Worcestershire's 5G Testbed consortium project. This dovetails strategically with the key technological areas upon which Worcestershire's economic growth will increasingly depend; namely Industry 4.0; Edge computing; Internet of Things (IoT); and Cyber Security.

Betaden's ambition is to be the catalyst for an expanding Worcestershire technology and innovation ecosystem, leveraging its growing reputation to raise private finance; attract valuable industry partnerships; licence its brand; and expand its physical presence to new locations, both within Worcestershire and beyond.

The key business plan objective is to become a 50/50 public/private funded entity by 2025, through a transition process away from reliance on public funding towards commercial partnerships, private investment, and grant funding on a national basis.",50K," finance and insurance , financial services , business services ",https://bidstats.uk//tenders/2020/W49/740098288,IoT
PROVISION OF AN ACCREDITED E-LEARNING SYSTEM, in Tend Education Portal ," furniture and furnishings , software development services , training services , software systems , education and training ","The GBS IoT require an accredited e learning system to support learning delivery. The system should be an intuitive, standalone, cloud based system that learners can access via a secure log in that will be led, supported, and managed by the provider.

The proposed platform must be capable of delivering training with a focus on Advanced Manufacturing and associated Engineering Disciplines from levels 3 - 7 (with the majority of training at level 4/5)",10K-£150K," furniture and furnishings , software development services , training services , software systems , education and training ",https://bidstats.uk//tenders/2021/W02/742981892,IoT
South Cambridgeshire District Council - Smart Thermostat Specification & requirements South Cambridgeshire District Council, South Cambridgeshire District Council , heating and ventilation goods ,"South Cambridgeshire District Council are looking for suitably qualified and experienced suppliers who are able to provide equipment that meets the following specification.

Smart Thermostat Specification & requirements South Cambridgeshire District Council.

Technical Specification

The successful supplier will provide a product with all of the following features and functionality.

The successful will:

•  Be a fit and forget product - with minimal to no attention required by the customer

•  Provide connected (IoT) Sensors capturing data on property temperature (status, gain and loss), air pressure, humidity, motion and light in one device per property.

•  Work with all major manufacturers of heating systems in the UK

•  Provide services to known and established Social Housing Providers in the UK

•  The device will be mains powered (either 240v or 12v) and not battery powered

•  The device will use the GSM (mobile phone) network to transmit data and not require Wifi

•  Data captured by the device will be done so on a constant or near-constant basis - minimum required is every 15mins.

•  Learn occupancy - e.g. understand when the building is occupied

•  Optimising heating settings to achieve efficiencies that offer financial savings

•  Have an easy to use and understandable 'user guide' to inform customers on how to utilise smart technology to its full potential.

•  Be CE and/or British Standard marked and compliant with all applicable legislation.

•  Not compromise the integrity of existing warranties on any systems that the solution connects / integrates and or controls.

•  The User Interface will be touch screen and demonstrably easy to navigate.

•  The device should be of both ergonomic and aesthetically pleasing design to encourage interaction.

•  Provide the data captured securely available to nominated individuals with levels of permissions.

•  Operate as a Data Processor for GDPR and have a Software Services Agreement to reflect this relationship.

•  Use occupancy data as a basis for appointment scheduling and be able to send appointment prompts.

•  The device must feature a two-way communication service (device/resident - landlord)

•  Provide the landlord with the ability to remotely restrict and activate the heating system

•  Training should be provided to installers without additional charge.

•  Have a 24-month warranty as standard with options to extend

•  Utilise external weather conditions and provide insight into the data captured that references this.

•  Provide risk statements relating to Humidity, Under/Overheating, Abandonment, Fuel Poverty and Mould on a property level basis.

•  Provide access to a portfolio level dashboard enabling a strategic view of property portfolio

•  Have a mapping feature that geospatially represents the property portfolio on a live basis

•  Provide detailed and aggregated metrics about data captured on a per property basis and apply risk statement to this data",___, heating and ventilation goods ,https://bidstats.uk//tenders/2021/W16/749404586,IoT
PROVISION OF A VIRTUAL LEARNING PLATFORM, in Tend Education Portal ," furniture and furnishings , software development services , training services , education and training , software systems ","The GBS IoT require an accredited e learning system to support learning delivery. The system should be an intuitive, standalone, cloud based system that learners can access via a secure log in that will be led, supported, and managed by the provider.

The proposed platform must be capable of delivering training with a focus on Advanced Manufacturing and associated Engineering Disciplines from levels 3 - 7 (with the majority of training at level 4/5)",10K-£150K," furniture and furnishings , software development services , training services , education and training , software systems ",https://bidstats.uk//tenders/2021/W02/742981898,IoT
Agreement for IoT sensor Probes and Other Hardware Accessories, Liverpool John Moores University , security equipment ,"The Sustainable Urban Development (SUD) project is delivering a series of cycling and walking upgrades on key corridors linking key housing sites in the region with employment and training opportunities. These key corridors will make up the Liverpool City Region Strategic Cycling & Walking network and aim to introduce clearly defined direct routes, which utilise off-road and segregated routes to encourage increased uptake in cycling and walking in the region.

Liverpool John Moores University (LJMU) is responsible for providing complementary measures to promote and incentivise the walking/cycling infrastructure being delivered. This will be through the introduction of a mobile phone application to promote the newly introduced cycling and walking network and a Local Authority data dashboard to monitor and analyse usage and other key data.

The data to feed these applications is collected through a series of IoT nodes placed at strategic locations across the cycling and walking network. This tender is for IoT air quality (AQ) and weather sensor probes, as well as other IoT hardware accessories.

Whilst there is no guarantee of overall spend, the anticipated spend for these probes and hardware accessories is approximately £5K to £10K and may be more subject to available funding, between March 2021 and December 2021.

2. Summary of Requirements

Provision of IoT sensor probes and other hardware accessories (including tracking, power and remote maintenance) to gather weather and pollution data on cycle networks.

Each IoT sensor probe and other hardware accessories (including tracking, power and remote maintenance) must meet certain specifications, electrical characteristics and accuracy levels and must come with a robust weatherproof enclosure with specific socket admissions to connect the nodes.",5K, security equipment ,https://bidstats.uk//tenders/2021/W07/745013339,IoT
Fly Tipping IoT Programme, London Borough of Sutton ," environmental services , communications equipment , transport equipment , IT services ","The South London Partnership is working to deliver an exciting and innovative “Internet of Things” (IoT) project across its five member councils; Croydon, Kingston, Merton, Richmond and Sutton.

This initiative is being funded by the Strategic Investment Pot (SIP) as part of the London Councils’ Business Rates Retention scheme, which is administered by the City of London Corporation.

This project will enable the London Borough of Sutton & Kingston Landlord Services to gain a more accurate insight into when fly tipping is occurring, in what volume and by whom.",___," environmental services , communications equipment , transport equipment , IT services ",https://bidstats.uk//tenders/2021/W14/748356007,IoT
South Cambridgeshire District Council - Smart Thermostat Specification & requirements South Cambridgeshire District Council, South Cambridgeshire District Council , heating and ventilation goods ,"Smart Thermostat Specification & requirements South Cambridgeshire District Council.Smart Thermostat Specification & requirements South Cambridgeshire District Council.

Technical Specification

The successful supplier will provide a product with all of the following features and functionality. The successful will:

• Be a fit and forget product - with minimal to no attention required by the customer

• Provide connected (IoT) Sensors capturing data on property temperature (status, gain and loss), air pressure, humidity, motion and light in one device per property.

• Work with all major manufacturers of heating systems in the UK

• Provide services to known and established Social Housing Providers in the UK

• The device will be mains powered (either 240v or 12v) and not battery powered

• The device will use the GSM (mobile phone) network to transmit data and not require Wifi

• Data captured by the device will be done so on a constant or near-constant basis - minimum required is every 15mins.

• Learn occupancy - e.g. understand when the building is occupied

• Optimising heating settings to achieve efficiencies that offer financial savings

• Have an easy to use and understandable 'user guide' to inform customers on how to utilise smart technology to its full potential.

• Be CE and/or British Standard marked and compliant with all applicable legislation.

• Not compromise the integrity of existing warranties on any systems that the solution connects / integrates and or controls.

• The User Interface will be touch screen and demonstrably easy to navigate.

• The device should be of both ergonomic and aesthetically pleasing design to encourage interaction.

• Provide the data captured securely available to nominated individuals with levels of permissions.

• Operate as a Data Processor for GDPR and have a Software Services Agreement to reflect this relationship.

• Use occupancy data as a basis for appointment scheduling and be able to send appointment prompts.

• The device must feature a two-way communication service (device/resident - landlord)

• Provide the landlord with the ability to remotely restrict and activate the heating system

• Training should be provided to installers without additional charge.

• Have a 24-month warranty as standard with options to extend

• Utilise external weather conditions and provide insight into the data captured that references this.

• Provide risk statements relating to Humidity, Under/Overheating, Abandonment, Fuel Poverty and Mould on a property level basis.

• Provide access to a portfolio level dashboard enabling a strategic view of property portfolio

• Have a mapping feature that geospatially represents the property portfolio on a live basis

• Provide detailed and aggregated metrics about data captured on a per property basis and apply risk statement to this data

• Provide notifications to the landlord relating to the risks identified above

• Be manufactured in the UK.",___, heating and ventilation goods ,https://bidstats.uk//tenders/2021/W15/748814668,IoT
CT0831 IP Video Surveillance System, City of Edinburgh Council ," television services , telecoms equipment , audio-visual equipment , network equipment ",Upgrade of the City of Edinburgh Council's IP Video Surveillance System,4M," television services , telecoms equipment , audio-visual equipment , network equipment ",https://bidstats.uk//tenders/2021/W13/747962845,IoT
IoT South - Bletchley Campus, Craig Pullen Consulting , building construction work ,"Milton Keynes College is seeking a first stage tender for the creation of an Institute of Technology campus at Bletchley Campus.

The project comprises the full internal & external refurbishment of

The Andrew Peck Building, plus a four-storey extension and external works.

The project is fully funded by the DfE.

The existing Andrew Peck Building (APB) with the addition of an extension will increase the overall GIA of the building to around 3990m2.

The new higher education Institute of Technology centre will deliver innovative, employer focussed Digital Technology qualifications as part of the South Central Institute of Technology",10M, building construction work ,https://bidstats.uk//tenders/2021/W32/756482332,IoT
3018/011/JN/CYMRU/21 Supply of an industrial projection and AR solution, Sheffield University , computer equipment ,"The University of Sheffield wishes to invite tenders for a an industrial projection and AR solution on behalf of the Advanced Manufacturing Research Centre, CYMRU

Scope of Requirement

The Advanced Manufacturing Research Centre - Cymru, requires an industrial projection and augmented-reality solution for use as a general technology demonstrator and for use on variety of (currently undetermined) future projects. Tenderer should support the initiatives of AMRC Cymru around off-the-shelf 4.0, AR and IoT solutions for its ecosystem of industrial companies.

Tender Process and Documentation:

This procurement is an open procedure conducted in accordance with the Public Contracts Regulations 2015",120K, computer equipment ,https://bidstats.uk//tenders/2021/W29/755171668,IoT
IoT South - Bletchley, Craig Pullen Consulting , building construction work ,"Milton Keynes College is seeking a first stage tender for the creation of an Institute of Technology campus at Bletchley Campus.

The project comprises the full internal & external refurbishment of

The Andrew Peck Building, plus a four-storey extension and external works.

The project is fully funded by the DfE.

The existing Andrew Peck Building (APB) with the addition of an extension will increase the overall GIA of the building to around 3990m2.

The new higher education Institute of Technology centre will deliver innovative, employer focussed Digital Technology qualifications as part of the South Central Institute of Technology",10M, building construction work ,https://bidstats.uk//tenders/2021/W32/756482378,IoT
1926 - SONNET Digital Services Programme Framework, Centre for Process Innovation , IT services ,"CPI is seeking to establish a multi supplier framework agreement with serval Cloud Service Providers, with the capability to implement a full device-to-Cloud solution for developing bespoke systems for Internet of Things (""IoT"")-based projects. Please register an account to download the tender pack at",25K-£189K, IT services ,https://bidstats.uk//tenders/2021/W32/756744377,IoT
SWAN Re-procurement, NHS National Services Scotland NSS ," IT services , data services , computer related services , software development services , telecoms services , consultancy services , installation services ","The Scottish Wide-Area network (SWAN) Replacement Procurement is an initiative supported by over 90 public sector organisations within Scotland that procure services under the existing SWAN framework agreement.

There are now around 6,020 sites connected to the single broadband network.

The framework now needs to be replaced before March 2023 to ensure continuity of networking services.",350M," IT services , data services , computer related services , software development services , telecoms services , consultancy services , installation services ",https://bidstats.uk//tenders/2021/W37/758776195,IoT
"Telecommunications, Digital Inclusion and Internet of Things", Procurement for Housing ," telecoms services , network equipment , software systems , telecoms equipment , information systems , software development services , data services , test and evaluation services , computer related services , computer equipment , technical maintenance , electrical installation work , consultancy services , installation services , electronic equipment , IT services , education and training , adult education , social and personal services , community services , training services , security equipment , IT consultancy , communications equipment , audio-visual equipment , industrial machinery , measuring and monitoring equipment ","Established in 2004, Procurement for Housing (PfH) is a national procurement consortium dedicated to the social housing sector and supported by the National Housing Federation (NHF), Chartered Institute of Housing (CIH) and HouseMark.

Collectively our Members manage more than 75% of UK’ social housing stock, with PfH helping them to achieve efficiency savings using a wide range of services including framework agreements, spend analyses, strategy reviews, consolidated billing and comprehensive reporting.

PfH is a contracting authority under Regulation 2 of the Public Contracts Regulations 2015 (“PCR 2015”) and a central purchasing body under regulation 37 PCR 2015 PfH is seeking to establish a national Framework Agreement for Telecommunications, Digital Inclusion, Internet of Things and associated services.

The Framework will be awarded for an initial period of three years and may be extended for a further year (4 years in total)

The framework is intended to provide services and associated products relating to networking and security including cloud based solutions, voice solutions, unified communications, mobile communications and total communications, in addition to providing solution to support digital inclusion and solutions utilising the Internet of Things technologies.

For further information please refer to the procurement documentation.",82M," telecoms services , network equipment , software systems , telecoms equipment , information systems , software development services , data services , test and evaluation services , computer related services , computer equipment , technical maintenance , electrical installation work , consultancy services , installation services , electronic equipment , IT services , education and training , adult education , social and personal services , community services , training services , security equipment , IT consultancy , communications equipment , audio-visual equipment , industrial machinery , measuring and monitoring equipment ",https://bidstats.uk//tenders/2021/W31/756220254,IoT
