Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
S Quartz,H24251330,Ventura,Black,Black,,Stainless steel,Rubber,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24251330-ventura-s-quartz.html
Scuba Auto,H82515330,Khaki Navy,Black,Black,,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h82515330-khaki-navy-scuba-auto.html
Scuba Quartz,H82221110,Khaki Navy,White,Silver,,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82221110-khaki-navy-scuba.html
Scuba Quartz,H82221310,Khaki Navy,White,White,,Stainless steel,Rubber,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82221310-khaki-navy-scuba.html
Scuba Auto,H82515130,Khaki Navy,Black,Silver,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h82515130-khaki-navy-scuba-auto.html
Scuba Auto,H82505140,Khaki Navy,Blue,Silver,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,30 bar (300m)/435 psi (934.2ft),,https://www.hamiltonwatch.com/en-int/h82505140-khaki-navy-scuba-auto.html
Intra-Matic Auto Chrono,H38416111,American Classic,White,,,Stainless steel,Stainless steel,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416111-american-classic-intra-matic-auto-chrono.html
Intra-Matic Auto Chrono,H38416541,American Classic,Blue,Brown,,Stainless steel,Calf leather,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416541-intra-matic.html
Intra-Matic Auto Chrono,H38416711,American Classic,White,Black,Men,Stainless steel,Calf leather,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416711-intramatic-auto-chrono.html
PSR Digital Quartz,H52414130,American Classic,Black,,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h52414130-american-classic-psr-digital-quartz.html
Mechanical 38mm,H69439931,Khaki Field,Black,Green,Men,Stainless steel,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439931-khaki-field-mechanical.html
Mechanical,H69439531,Khaki Field,Black,Brown,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439531-khaki-field.html
Mechanical 38mm,H69439131,Khaki Field,Black,,,Stainless steel,Stainless steel,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439131-khaki-field-mechanical.html
Intra-Matic Chronograph H,H38429710,American Classic,White,,,Stainless steel,,"The H-51 is a mechanical chronograph movement that celebrates the fundamental principles of watchmaking. Featuring an extended 60-hour power reserve, this hand-wound caliber keeps and measures time with a combination of modern precision and vintage-inspired charm.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38429710-american-classic-intra-matic-chronograph-h.html
Intra-Matic Chronograph H,H38429130,American Classic,Black,,,Stainless steel,Stainless steel,"The H-51 is a mechanical chronograph movement that celebrates the fundamental principles of watchmaking. Featuring an extended 60-hour power reserve, this hand-wound caliber keeps and measures time with a combination of modern precision and vintage-inspired charm.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38429130-american-classic-intra-matic-chronograph-h.html
Intra-Matic Chronograph H,H38429730,American Classic,Black,,,Stainless steel,,"The H-51 is a mechanical chronograph movement that celebrates the fundamental principles of watchmaking. Featuring an extended 60-hour power reserve, this hand-wound caliber keeps and measures time with a combination of modern precision and vintage-inspired charm.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38429730-american-classic-intra-matic-chronograph-h.html
Converter Auto GMT,H76715140,Khaki Aviation,Blue,,,Stainless steel,Stainless steel,,80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76715140-khaki-aviation-converter-gmt.html
Converter Auto GMT,H76715540,Khaki Aviation,Blue,Brown,,Stainless steel,Calf leather,,80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76715540-khaki-aviation-converter-gmt.html
Murph Auto with standard packaging,H70605731,Khaki Field,Black,Black,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70605731-khaki-field-murph-auto.html
Open Heart Auto,H32575735,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32575735-jazzmaster-auto-chrono.html
Converter Auto Chrono,H76736730,Khaki Aviation,Black,Black,,Stainless steel,Cow leather,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76736730-khaki-aviation-converter.html
Converter Auto Chrono,H76726530,Khaki Aviation,Black,Brown,,Stainless steel,Cow leather,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76726530-khaki-aviation-converter.html
Mechanical 38mm,H69439111,Khaki Field,White,,,Stainless steel,Stainless steel,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439111-khaki-field-mechanical.html
Converter Auto Chrono,H76726130,Khaki Aviation,Black,,,Stainless steel,Stainless steel,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76726130-khaki-aviation-converter.html
Mechanical 38mm,H69439411,Khaki Field,White,Green,,Stainless steel,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439411-khaki-field.html
Mechanical,H69439511,Khaki Field,White,Brown,,Stainless steel,Cow leather,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69439511-khaki-field.html
Open Heart Auto,H32705141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705141-jazzmaster-open-heart-auto.html
Mechanical,H69409930,Khaki Field,Grey,Grey,,Stainless steel,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69409930-khaki-field.html
Intra-Matic Chronograph H,H38429110,American Classic,White,,,Stainless steel,Stainless steel,"The H-51 is a mechanical chronograph movement that celebrates the fundamental principles of watchmaking. Featuring an extended 60-hour power reserve, this hand-wound caliber keeps and measures time with a combination of modern precision and vintage-inspired charm.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38429110-american-classic-intra-matic-chronograph-h.html
S Quartz,H24251391,Ventura,Mother of pearl,White,Women,Stainless steel,Rubber,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24251391-ventura-s-quartz.html
BeLOWZERO Auto Titanium,H78505330,Khaki Navy,Black,Black,,Titanium,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",,Sapphire,100 bar (1000m)/1450 psi (3280.8ft),"A new titanium case adds lightweight durability to the high performing Khaki Navy BeLOWZERO. Water resistant to 100 bar (1,000 m) and equipped with a helium escape valve, this submarine-inspired watch is perfect for your next water adventure. The impressive 46mm titanium case treated with black PVD is the epitome of stealth style and features a special diving mask embossed on the case back.",https://www.hamiltonwatch.com/en-int/h78505330.html
Quartz,H24411232,Ventura,Black,,,Stainless steel,Stainless steel,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24411232-ventura-quartz.html
Open Heart Auto,H32565555,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565555-jazzmaster-open-heart-auto.html
Quartz,H24301131,Ventura,Black,,,Stainless steel,,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24301131-ventura.html
Quartz,H24411732,Ventura,Black,Black,Men,Stainless steel,Cow leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24411732-ventura-quartz.html
Titanium Auto,H70665533,Khaki Field,Black,Brown,Men,Titanium,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70665533-khaki-field-auto.html
Titanium Auto,H70545550,Khaki Field,Black,Brown,Men,Titanium,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70545550-khaki-field-auto.html
Open Heart,H32705152,Jazzmaster,Silver,Silver,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705152-jazzmaster-open-heart-42mm.html
Open Heart,H32705651,Jazzmaster,Silver,Blue,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705651-jazzmaster-open-heart-42mm.html
Boulton Small Second Quartz,H13421511,American Classic,White,Brown,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13421511-boulton.html
Boulton Small Second Quartz,H13421611,American Classic,White,Blue,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13421611-boulton.html
Lady Auto,H32315842,Jazzmaster,Blue,White,Women,Stainless steel,Calf leather,,43-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32315842-jazzmaster-lady-auto.html
Open Heart Lady Auto,H32215141,Jazzmaster,Blue,Silver,Women,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215141-jazzmaster-open-heart-lady-auto.html
Lady Auto,H32315141,Jazzmaster,Blue,,Women,Stainless steel,Stainless steel,,43-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32315141-jazzmaster-lady-automatic.html
Boulton Small Second Quartz,H13421811,American Classic,White,,,Stainless steel,Cow leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13421811-boulton.html
Open Heart Lady Auto,H32215140,Jazzmaster,Blue,,Women,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215140-jazzmaster-open-heart-lady-auto.html
Open Heart Lady Auto,H32215130,Jazzmaster,Black,,Women,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215130-jazzmaster-open-heart-lady-auto.html
Lady Auto,H32315111,Jazzmaster,White,,Women,Stainless steel,Stainless steel,,43-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32315111-jazzmaster-lady-auto.html
Intra-Matic Auto,H38465501,American Classic,Brown,Brown,,Stainless steel,Cow leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38465501-intra-matic.html
Intra-Matic Auto,H38475751,American Classic,Silver,Black,Men,Stainless steel,Goat leather,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38475751-american-classic-intra-matic-auto.html
Intra-Matic Auto,H38455781,American Classic,Grey,Black,,Stainless steel,Cow leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38455781-intra-matic.html
Viewmatic Skeleton Lady Auto,H32405871,Jazzmaster,Mother of pearl,White,Women,Stainless steel,Calf leather,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32405871-jazzmaster-viewmatic-skeleton-lady-auto.html
Skeleton Lady Auto,H32405811,Jazzmaster,White,White,Women,Stainless steel,Rubber,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32405811-jazzmaster-viewmatic-skeleton-lady-auto.html
Skeleton Lady Auto,H32405111,Jazzmaster,White,,Women,Stainless steel,Stainless steel,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32405111-jazzmaster-lady-auto.html
Intra-Matic Auto,H38455501,American Classic,,Brown,,Stainless steel,Calf leather,,50-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38455501-american-classic-intra-matic-auto.html
X-Wind Day Date Auto,H77765141,Khaki Aviation,Blue,,,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77765141-khaki-x-wind.html
X-Wind Day Date Auto,H77765541,Khaki Aviation,Blue,Brown,,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h77765541-khaki-x-wind.html
Scuba Quartz,H82211981,Khaki Navy,Grey,Grey,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82211981-khaki-navy-scuba-quartz.html
Scuba Quartz,H82211181,Khaki Navy,Grey,,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82211181-khaki-navy-scuba-quartz.html
Open Heart Lady Auto,H32215890,Jazzmaster,Mother of pearl,White,Women,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215890-jazzmaster-open-heart-lady-auto.html
Open Heart Lady Auto,H32215840,Jazzmaster,Blue,Beige,Women,Stainless steel,Ostrich leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215840-jazzmaster-open-heart-lady-auto.html
Open Heart Lady Auto,H32205890,Jazzmaster,Mother of pearl,White,Women,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32205890-jazzmaster-open-heart-lady-auto.html
Intra-Matic Auto Chrono 40mm,H38416160,American Classic,Green,,,Stainless steel,,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416160-american-classic-intra-matic-auto-chrono-40mm.html
Auto Chrono,H32586111,Jazzmaster,White,Silver,,Stainless steel,Stainless steel,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32586111-jazzmaster.html
Day Date Auto,H32505141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505141-jazzmaster-day-date-auto.html
