"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO ","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Athletico Management LLC",https://www.athletico.com/locations/,Adam Bennett ,"
	625 Enterprise Dr, Oakbrook, IL 60523, United States"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM ","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP ","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA ","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,Colony Hopkins ,"
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D. ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	Myrtue Medical Center",http://www.myrtuemedical.org,"Denise Suedkamp, PA ","
	1213 Garfield Ave, Harlan, IA, USA"
"
	Plymouth Bay Orthopedic Associates",http://www.pbortho.com,"Brett Teran, DO ","
	95 Tremont Street, Duxbury, Massachusetts 02332, United States"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO ","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
"
	Bouton Physical Therapy",https://Boutonphysicaltherapy@gmail.com,"Christopher Bouton, PT ","
	221 South James Street, Rome, NY 13440, United States"
"
	Pro Therapy Services of East Tennessee",,"Lacee Jenkins, PT ","
	2537 Sand Pike Blvd, Pigeon Forge, Tennessee 37863, United States"
"
	Billings Clinic Sports Medicine & Rehabilitation",https://www.billingsclinic.com/maps-locations,"Stephen Rogers, PA ","
	2702 8th Ave North, Billings, MT 59101, United States"
Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD ","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP ","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA ","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Athletico Management LLC",https://www.athletico.com/locations/,Adam Bennett ,"
	625 Enterprise Dr, Oakbrook, IL 60523, United States"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM ","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD ","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,Colony Hopkins ,"
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO ","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D. ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	Plymouth Bay Orthopedic Associates",http://www.pbortho.com,"Brett Teran, DO ","
	95 Tremont Street, Duxbury, Massachusetts 02332, United States"
"
	Myrtue Medical Center",http://www.myrtuemedical.org,"Denise Suedkamp, PA ","
	1213 Garfield Ave, Harlan, IA, USA"
"
	Frost Therapy Services",," Melissa Frost, MS, OTR/L ","
	403 Coldspring Run, Newark, DE 19711, United States"
"
	Roane General Hospital",https://www.roanegeneralhospital.com/,"Jeffrey Tanner, PT ","
	200 Hospital Dr, Spencer, WV 25276, United States"
"
	Activcore",https://activcore.com,"Kelsy Rayl, PT ","
	4284 Trail Boss Dr, Suite 120, Castle Rock, CO 80104, United States"
"
	Billings Clinic",," Melinda Cervantes, OTR/L ","
	2675 Central Ave, Billings, MT 59102, United States"
"
	Bouton Physical Therapy",https://Boutonphysicaltherapy@gmail.com,"Christopher Bouton, PT ","
	221 South James Street, Rome, NY 13440, United States"
"
	Pro Therapy Services of East Tennessee",,"Lacee Jenkins, PT ","
	2537 Sand Pike Blvd, Pigeon Forge, Tennessee 37863, United States"
"
	Billings Clinic Sports Medicine & Rehabilitation",https://www.billingsclinic.com/maps-locations,"Stephen Rogers, PA ","
	2702 8th Ave North, Billings, MT 59101, United States"
"
	Children’s Mercy Hospital",https://www.childrensmercy.org/,"Greg Canty, MD ","
	2401 Gillham Rd, Kansas City, MO 64108, United States"
"
	Salina Regional Health Center",https://www.srhc.com/,"Britton Zuccarelli, MD ","
	520 S. Santa Fe Salina, KS 67401, United States"
"
	Southern Orthopaedic Surgeons",https://www.sos-ortho.com/,"Derek Woessner, MD ","
	454 Taylor Rd, Montgomery, AL 36117, United States"
"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO ","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Indiana Total Therapy",http://indianatotaltherapy.com/,"Eric Bohn, DO CAQSM ","
	2010 Shelly Drive, Indiana, Pennsylvania, 15107"
"
	Concussion Institute at Gwinnett Medical Center",https://www.gwinnettmedicalcenter.org/sports-medicine/concussion-institute/,"Adam Shunk, PhD ","
	3855 Pleasant Hill Road #130, Duluth, GA 30096, USA"
Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD ","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD ","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO ","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Salina Regional Health Center",https://www.srhc.com/,"Britton Zuccarelli, MD ","
	520 S. Santa Fe Salina, KS 67401, United States"
"
	Concussion Institute at Gwinnett Medical Center",https://www.gwinnettmedicalcenter.org/sports-medicine/concussion-institute/,"Adam Shunk, PhD ","
	3855 Pleasant Hill Road #130, Duluth, GA 30096, USA"
"
	Children’s Mercy Hospital",https://www.childrensmercy.org/,"Greg Canty, MD ","
	2401 Gillham Rd, Kansas City, MO 64108, United States"
"
	Billings Clinic Sports Medicine & Rehabilitation",https://www.billingsclinic.com/maps-locations,"Stephen Rogers, PA ","
	2702 8th Ave North, Billings, MT 59101, United States"
"
	Southern Orthopaedic Surgeons",https://www.sos-ortho.com/,"Derek Woessner, MD ","
	454 Taylor Rd, Montgomery, AL 36117, United States"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	Athletico Management LLC",https://www.athletico.com/locations/,Adam Bennett ,"
	625 Enterprise Dr, Oakbrook, IL 60523, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA ","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,Colony Hopkins ,"
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM ","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP ","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D. ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	Frost Therapy Services",," Melissa Frost, MS, OTR/L ","
	403 Coldspring Run, Newark, DE 19711, United States"
"
	Roane General Hospital",https://www.roanegeneralhospital.com/,"Jeffrey Tanner, PT ","
	200 Hospital Dr, Spencer, WV 25276, United States"
"
	Activcore",https://activcore.com,"Kelsy Rayl, PT ","
	4284 Trail Boss Dr, Suite 120, Castle Rock, CO 80104, United States"
"
	Billings Clinic",," Melinda Cervantes, OTR/L ","
	2675 Central Ave, Billings, MT 59102, United States"
"
	Bouton Physical Therapy",https://Boutonphysicaltherapy@gmail.com,"Christopher Bouton, PT ","
	221 South James Street, Rome, NY 13440, United States"
"
	Pro Therapy Services of East Tennessee",,"Lacee Jenkins, PT ","
	2537 Sand Pike Blvd, Pigeon Forge, Tennessee 37863, United States"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO ","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
"
	Plymouth Bay Orthopedic Associates",http://www.pbortho.com,"Brett Teran, DO ","
	95 Tremont Street, Duxbury, Massachusetts 02332, United States"
"
	Indiana Total Therapy",http://indianatotaltherapy.com/,"Eric Bohn, DO CAQSM ","
	2010 Shelly Drive, Indiana, Pennsylvania, 15107"
"
	Myrtue Medical Center",http://www.myrtuemedical.org,"Denise Suedkamp, PA ","
	1213 Garfield Ave, Harlan, IA, USA"
Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD ","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	Children’s Mercy Hospital",https://www.childrensmercy.org/,"Greg Canty, MD ","
	2401 Gillham Rd, Kansas City, MO 64108, United States"
"
	Bouton Physical Therapy",https://Boutonphysicaltherapy@gmail.com,"Christopher Bouton, PT ","
	221 South James Street, Rome, NY 13440, United States"
"
	Salina Regional Health Center",https://www.srhc.com/,"Britton Zuccarelli, MD ","
	520 S. Santa Fe Salina, KS 67401, United States"
"
	Pro Therapy Services of East Tennessee",,"Lacee Jenkins, PT ","
	2537 Sand Pike Blvd, Pigeon Forge, Tennessee 37863, United States"
"
	Billings Clinic Sports Medicine & Rehabilitation",https://www.billingsclinic.com/maps-locations,"Stephen Rogers, PA ","
	2702 8th Ave North, Billings, MT 59101, United States"
"
	Roane General Hospital",https://www.roanegeneralhospital.com/,"Jeffrey Tanner, PT ","
	200 Hospital Dr, Spencer, WV 25276, United States"
"
	Activcore",https://activcore.com,"Kelsy Rayl, PT ","
	4284 Trail Boss Dr, Suite 120, Castle Rock, CO 80104, United States"
"
	Southern Orthopaedic Surgeons",https://www.sos-ortho.com/,"Derek Woessner, MD ","
	454 Taylor Rd, Montgomery, AL 36117, United States"
"
	Concussion Institute at Gwinnett Medical Center",https://www.gwinnettmedicalcenter.org/sports-medicine/concussion-institute/,"Adam Shunk, PhD ","
	3855 Pleasant Hill Road #130, Duluth, GA 30096, USA"
"
	Indiana Total Therapy",http://indianatotaltherapy.com/,"Eric Bohn, DO CAQSM ","
	2010 Shelly Drive, Indiana, Pennsylvania, 15107"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD ","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO ","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Athletico Management LLC",https://www.athletico.com/locations/,Adam Bennett ,"
	625 Enterprise Dr, Oakbrook, IL 60523, United States"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM ","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP ","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA ","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,Colony Hopkins ,"
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D. ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO ","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
"
	Myrtue Medical Center",http://www.myrtuemedical.org,"Denise Suedkamp, PA ","
	1213 Garfield Ave, Harlan, IA, USA"
"
	Plymouth Bay Orthopedic Associates",http://www.pbortho.com,"Brett Teran, DO ","
	95 Tremont Street, Duxbury, Massachusetts 02332, United States"
"
	Billings Clinic",," Melinda Cervantes, OTR/L ","
	2675 Central Ave, Billings, MT 59102, United States"
"
	Frost Therapy Services",," Melissa Frost, MS, OTR/L ","
	403 Coldspring Run, Newark, DE 19711, United States"
Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD ","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	Concussion Institute at Gwinnett Medical Center",https://www.gwinnettmedicalcenter.org/sports-medicine/concussion-institute/,"Adam Shunk, PhD ","
	3855 Pleasant Hill Road #130, Duluth, GA 30096, USA"
"
	Indiana Total Therapy",http://indianatotaltherapy.com/,"Eric Bohn, DO CAQSM ","
	2010 Shelly Drive, Indiana, Pennsylvania, 15107"
"
	Bouton Physical Therapy",https://Boutonphysicaltherapy@gmail.com,"Christopher Bouton, PT ","
	221 South James Street, Rome, NY 13440, United States"
"
	Billings Clinic",," Melinda Cervantes, OTR/L ","
	2675 Central Ave, Billings, MT 59102, United States"
"
	Southern Orthopaedic Surgeons",https://www.sos-ortho.com/,"Derek Woessner, MD ","
	454 Taylor Rd, Montgomery, AL 36117, United States"
"
	Children’s Mercy Hospital",https://www.childrensmercy.org/,"Greg Canty, MD ","
	2401 Gillham Rd, Kansas City, MO 64108, United States"
"
	Salina Regional Health Center",https://www.srhc.com/,"Britton Zuccarelli, MD ","
	520 S. Santa Fe Salina, KS 67401, United States"
"
	Pro Therapy Services of East Tennessee",,"Lacee Jenkins, PT ","
	2537 Sand Pike Blvd, Pigeon Forge, Tennessee 37863, United States"
"
	Billings Clinic Sports Medicine & Rehabilitation",https://www.billingsclinic.com/maps-locations,"Stephen Rogers, PA ","
	2702 8th Ave North, Billings, MT 59101, United States"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD ","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO ","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM ","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	Athletico Management LLC",https://www.athletico.com/locations/,Adam Bennett ,"
	625 Enterprise Dr, Oakbrook, IL 60523, United States"
"
	Roane General Hospital",https://www.roanegeneralhospital.com/,"Jeffrey Tanner, PT ","
	200 Hospital Dr, Spencer, WV 25276, United States"
"
	Frost Therapy Services",," Melissa Frost, MS, OTR/L ","
	403 Coldspring Run, Newark, DE 19711, United States"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP ","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Activcore",https://activcore.com,"Kelsy Rayl, PT ","
	4284 Trail Boss Dr, Suite 120, Castle Rock, CO 80104, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA ","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,Colony Hopkins ,"
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D. ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO ","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
"
	Plymouth Bay Orthopedic Associates",http://www.pbortho.com,"Brett Teran, DO ","
	95 Tremont Street, Duxbury, Massachusetts 02332, United States"
"
	Myrtue Medical Center",http://www.myrtuemedical.org,"Denise Suedkamp, PA ","
	1213 Garfield Ave, Harlan, IA, USA"
