Company_name,Company_website,Practitioner_names,url,Company_address
"
	Meadville Medical Center",https://www.mmchs.org/,Lacey Stoner ,https://concussioncareproviders.com/listing/meadville-medical-center-4/,"
	13187 Smith Cemetery Rd, Meadville, PA 16335, United States"
"
	Care Now Urgent Care",,"Mary Grace Powell, Physician Assistant ",https://concussioncareproviders.com/listing/care-now-urgent-care-2/,"
	517 South Lamar Boulevard, Austin, TX, USA"
"
	Lifemark Health Center",https://www.lifemark.ca/,Lauren Johnson ,https://concussioncareproviders.com/listing/lifemark-health-center/,"
	2070 Quingate Pl, Halifax, NS B3L 4T6, Canada"
"
	Lifemark Centric",https://www.lifemark.ca/dartmouth,Ashley Rawle ,https://concussioncareproviders.com/listing/lifemark-centric/,"
	67 Cranberry Crescent, Dartmouth, NS B2W 5B7, Canada"
"
	Irwin Physiotherapy",https://www.irwinphysiotherapy.com/,"Craig Irwin, PT ",https://concussioncareproviders.com/listing/irwin-physiotherapy/,"
	100 Main St S, Seaforth, ON N0K 1W0, Canada"
"
	Meadville Medical Center",https://www.mmchs.org/,Alexis Campbell OT ,https://concussioncareproviders.com/listing/meadville-medical-center-3/,"
	11277 Vernon Place Rd. Meadville, PA 16335"
"
	Lehigh Valley Health Network",https://www.lvhn.org/,Georgette Herring OT ,https://concussioncareproviders.com/listing/lehigh-valley-health-network-3/,"
	50 Moisey Dr, Hazle Township, PA 18202, United States"
"
	InMotion Health Centre",https://www.inmotionhealthcentre.ca/,Lori Mercer ,https://concussioncareproviders.com/listing/inmotion-health-centre/,"
	179 Hamlyn Rd, St. John's, NL A1E 5Z5, Canada"
"
	Lake Region Health Care",https://www.lrhc.org/,Michael Nelson ,https://concussioncareproviders.com/listing/lake-region-health-care/,"
	712 S Cascade St, Fergus Falls, MN 56537, United States"
"
	John Obert-Thorn",,John Obert-Thorn ,https://concussioncareproviders.com/listing/john-obert-thorn/,"
	315 Shelter Rd, Ronkonkoma, NY 11779, United States"
"
	Edward Hospital",https://www.eehealth.org/locations/,Mara Chiocca OT ,https://concussioncareproviders.com/listing/edward-hospital/,"
	2701 Berman Rd, North Aurora, IL 60542, United States"
"
	Meadville Medical Center",https://www.mmchs.org/,Corinne Wolfe ,https://concussioncareproviders.com/listing/meadville-medical-center-2/,"
	10819 Timber Crest Dr #303, Meadville, PA 16335, United States"
"
	CHI Health",https://www.chihealth.com/,Patti Prusa OT ,https://concussioncareproviders.com/listing/chi-health/,"
	104 W 17th St, Schuyler, NE 68661, United States"
"
	Cary Medical Center",https://www.carymedicalcenter.org/,Danielle Cropley ,https://concussioncareproviders.com/listing/cary-medical-center/,"
	22 Strawberry Bank Rd, Presque Isle, ME 04769, United States"
"
	Adventist Health Physical Therapy",https://www.adventisthealth.org/hanford/services/rehabilitation-services/,Larry Jones ,https://concussioncareproviders.com/listing/adventist-health-physical-therapy/,"
	746 W Willow St, Hanford, CA 93230, United States"
"
	Affiliated Community Medical Centers",https://www.carrishealth.com/,Blake Sweney ,https://concussioncareproviders.com/listing/affiliated-community-medical-centers-2/,"
	11235 Julia Ln, Becker, MN 55308, United States"
"
	Abilities Rehabilitation Services",https://www.abilitiesrehab.ca/,Joelle Zwicker OT ,https://concussioncareproviders.com/listing/abilities-rehabilitation-services/,"
	12 Kingston Crescent, Hornell Heights, ON P0H 1P0, Canada"
"
	Access Physical Therapy and Wellness",https://accessphysicaltherapywellness.com/,Dan Wood ,https://concussioncareproviders.com/listing/access-physical-therapy-and-wellness/,"
	386 Rock Cut Rd, Walden, NY 12586, United States"
"
	Billings Clinic",https://www.billingsclinic.com/maps-locations,"Cammi Goetze, OTR/L ",https://concussioncareproviders.com/listing/billings-clinic-2/,"
	2675 Central Ave, Billings, MT 59102, USA"
"
	Turning point rehab",https://turningpointrehab.com/,Dionne Sellick ,https://concussioncareproviders.com/listing/turning-point-rehab/,"
	221 18th St E, North Vancouver, BC V7L 2X7, Canada"
"
	Centre For Rehabilitation & Health",https://centreforrehabilitationandhealth.com/,Tamera Ellis OT ,https://concussioncareproviders.com/listing/centre-for-rehabilitation-health/,"
	2045 Lake Shore Blvd W, Etobicoke, ON M8V 2Z6, Canada"
"
	SACH OSF",https://www.osfhealthcare.org/,Carol Babcock OT ,https://concussioncareproviders.com/listing/sach-osf/,"
	2 Hemlock Ct, Bethalto, IL 62010, United States"
"
	Sanford",https://www.sanfordhealth.org/locations/sanford-brandon-family-medicine,Kaylee Koob ,https://concussioncareproviders.com/listing/sanford/,"
	2612 Sunrise Ct, Brandon, SD 57005, United States"
"
	TheraVision LLC",http://theravisionllc.com/,Kelly Frystak ,https://concussioncareproviders.com/listing/theravision-llc/,"
	2876 Fairmont Ave, Aurora, IL 60503, United States"
"
	St Joseph Mercy Hospital",https://www.stjoeshealth.org/,Sharon Hier-Wellmer ,https://concussioncareproviders.com/listing/st-joseph-mercy-hospital/,"
	8040 Beacon Ln, Northville, MI 48168, United States"
"
	The University of Kansas Hospital",https://www.kansashealthsystem.com/,Andrew Lum ,https://concussioncareproviders.com/listing/the-university-of-kansas-hospital/,"
	7721 W 96th Terrace, Overland Park, KS 66212, United States"
"
	Robert Wood Johnson Barnabas",https://www.rwjbh.org/,Betty Llamos-Riccio ,https://concussioncareproviders.com/listing/robert-wood-johnson-barnabas/,"
	71 Gillette Rd, Gillette, NJ 07933, United States"
"
	Rice Rehabilitaiton Center",https://www.carrishealth.com/locations/carris-health-rehabilitation-center/,Sarah Tanner ,https://concussioncareproviders.com/listing/rice-rehabilitaiton-center/,"
	15839 83rd St NE, Spicer, MN 56288, United States"
"
	Rehab First",http://www.rehabfirst.ca/,Jennifer Compeau ,https://concussioncareproviders.com/listing/rehab-first/,"
	19 Ginger Dr, Barrie, ON L4N 9Z2, Canada"
"
	Peaks to Plains Therapy",,Bretton Moosman OT ,https://concussioncareproviders.com/listing/peaks-to-plains-therapy/,"
	3840 E 120 N, 3840 E 120 N, Rigby, ID 83442, United States"
"
	Perham Health",,Alyce Zimmerman OT ,https://concussioncareproviders.com/listing/perham-health/,"
	1000 Coney St W, Perham, MN 56573, United States"
"
	PRN Physical and Occupational Therapy",https://prnptot.com/,Karyn Michalski ,https://concussioncareproviders.com/listing/prn-physical-and-occupational-therapy/,"
	6325 Tonawanda Creek Rd, Lockport, NY 14094, United States"
"
	Nova Southeastern University",https://www.nova.edu/,Gabrielle Petruccelli ,https://concussioncareproviders.com/listing/nova-southeastern-university-3/,"
	40 Fall Ln, Portland, ME 04103, United States"
"
	NeuroRestorative",https://www.neurorestorative.com/,Michael Davis ,https://concussioncareproviders.com/listing/neurorestorative-2/,"
	1116 Stonecrop Dr, Lexington, KY 40509, United States"
"
	Northeast Lousiana Rehabilitation",https://www.nelarehab.com/,Casey Eckhardt ,https://concussioncareproviders.com/listing/northeast-lousiana-rehabilitation/,"
	246 Alonzo Rd, West Monroe, LA 71291, United States"
"
	Physio Balance",https://www.physiobalance.ca/,Nayima P.-Hanna ,https://concussioncareproviders.com/listing/physio-balance-2/,"
	8331 Avenue des Belges, Montréal, QC H2P 2B1, Canada"
"
	NL Balance and Dizziness Centre",https://www.nlbalance.com/,Meghan Morrissey ,https://concussioncareproviders.com/listing/nl-balance-and-dizziness-centre/,"
	3 Trebble Pl, St. John's, NL A1A 5X3, Canada"
"
	Neuro & Brain Performance Centers",https://nbpcaz.com/,John Davis ,https://concussioncareproviders.com/listing/neuro-brain-performance-centers/,"
	6840 N Power Rd #104, Mesa, AZ 85215, United States"
"
	WVU",https://www.wvu.edu/,Amanda Acord-Vira ,https://concussioncareproviders.com/listing/wvu/,"
	30 Avery Dr, Morgantown, WV 26508, United States"
"
	Neuro and Brain Performance Centers",https://nbpcaz.com/,jason ernst ,https://concussioncareproviders.com/listing/neuro-and-brain-performance-centers/,"
	3636 E Dartmouth St, Mesa, AZ 85205, United States"
"
	NeuroRestorative",https://www.neurorestorative.com/,"Alissa Cannoy, MOT, OTR/L, CBIS ",https://concussioncareproviders.com/listing/neurorestorative/,"
	2154 Carter Avenue, Suite C., Ashland, KY 41101, USA"
"
	Waldo County General Hospital",https://mainehealth.org/waldo-county-general-hospital,"Moriah Grant, OTD, OTR/L, CV ",https://concussioncareproviders.com/listing/waldo-county-general-hospital/,"
	163 Northport Ave, Belfast, ME 04915, United States"
"
	Valley Health",https://www.valleyhealthlink.com/,"Angie Cottrill, ITOT ",https://concussioncareproviders.com/listing/valley-health-2/,"
	401 Campus Blvd Winchester, VA 22602"
"
	Advanced Neurologic Rehabilitation",https://azneurorehab.com/,Jefferson Holm ,https://concussioncareproviders.com/listing/advanced-neurologic-rehabilitation/,"
	1447 W Elliot Rd Ste 101, Gilbert, AZ 85233, United States"
"
	West Virginia University",https://www.wvu.edu/,Steven Wheeler ,https://concussioncareproviders.com/listing/west-virginia-university/,"
	3209 Lemley St, Morgantown, WV 26508, United States"
"
	UPMC Susquehanna",https://www.susquehannahealth.org/,Marissa Rojas OT ,https://concussioncareproviders.com/listing/upmc-susquehanna/,"
	217 S Washington St, Muncy, PA 17756, United States"
"
	Advanced Pain Rehab",https://advancedpainrehab.com/,Michael Lim RN ,https://concussioncareproviders.com/listing/advanced-pain-rehab/,"
	7115 Virginia RD #122, Crystal lake, IL 60014, United States"
"
	University of Utah",https://www.utah.edu/,Annie Wallace OT ,https://concussioncareproviders.com/listing/university-of-utah-2/,"
	2404 S Elizabeth St, Salt Lake City, UT 84106, United States"
"
	University of Utah",https://www.utah.edu/,Lindsay Thrall OT ,https://concussioncareproviders.com/listing/university-of-utah-4/,"
	1136 Wilmington Ave, Salt Lake City, UT 84106, United States"
"
	University of Utah",https://www.utah.edu/,Ben Ostler OT ,https://concussioncareproviders.com/listing/university-of-utah-3/,"
	8696 S 1645 E, Sandy, UT 84093, United States"
"
	Advanced Care Physical Therapy Aquatics and Fitness",http://advancedcarephysicaltherapy.com/,Craig Reinstein ,https://concussioncareproviders.com/listing/advanced-care-physical-therapy-aquatics-and-fitness/,"
	290 Via Foresta Lane, Williamsville, NY 14221, United States"
"
	Advanced Care Physical Therapy",http://advancedcarephysicaltherapy.com/,KRISTY FRYE ,https://concussioncareproviders.com/listing/advanced-care-physical-therapy/,"
	924 Main Street, Niagara Falls, NY 14301, USA"
"
	Advance Wellness and Education Center, LLC",https://awecenter.net/,Rebecca Traggiai ,https://concussioncareproviders.com/listing/advance-wellness-and-education-center-llc/,"
	222 Moorehead Rd, Sarver, PA 16055, United States"
"
	access physical therapy and wellness",https://accessphysicaltherapywellness.com/,joseph rifino RN ,https://concussioncareproviders.com/listing/access-physical-therapy-and-wellness-2/,"
	2531 route 52, hopewell junction, NY 12533, United States"
"
	Access Physical Therapy & Wellness",https://accessphysicaltherapywellness.com/,Catherine Croce ,https://concussioncareproviders.com/listing/access-physical-therapy-wellness/,"
	33 Glenmare Mews Apt 33, Nyack, NY 10960, United States"
"
	Achieve",https://www.achievendpt.com/,Brian Inselman RN ,https://concussioncareproviders.com/listing/achieve/,"
	11511 South 42nd St #106, Bellevue, NE 68123, United States"
"
	ACMC Health",https://www.carrishealth.com/locations/,Resada Enberg ,https://concussioncareproviders.com/listing/acmc-health/,"
	617 N 9th St, Montevideo, MN 56265, United States"
"
	MTS Physical Therapy",https://www.mtsphysicaltherapy.com/,John (JD) Boudreaux ,https://concussioncareproviders.com/listing/mts-physical-therapy/,"
	327 Iberia Street #B, Youngsville, LA 70592, USA"
"
	Abraham Lincoln Memorial Hospital",https://www.almh.org/,Todd Mourning ,https://concussioncareproviders.com/listing/abraham-lincoln-memorial-hospital-3/,"
	221 N. Logan, Lincoln, IL 62656, United States"
"
	Abraham Lincoln Memorial Hospital",https://www.almh.org/,"Chrissy Willoughby, PT ",https://concussioncareproviders.com/listing/abraham-lincoln-memorial-hospital-4/,"
	PO BOX 421, Lincoln, IL 62656, United States"
"
	Abraham Lincoln Memorial Hospital",https://www.almh.org/,"Amy Knox, PT, DPT, SCS, ITPT ",https://concussioncareproviders.com/listing/abraham-lincoln-memorial-hospital-2/,"
	Abraham Lincoln Memorial Hospital: Emergency Room, 200 Stahlhut Drive, Lincoln, IL 62656, USA"
"
	360 Balance & Hearing",https://360balance.com/,Bridgett Wallace ,https://concussioncareproviders.com/listing/360-balance-hearing/,"
	5608 Parkcrest Dr #100, Austin, TX 78731, United States"
"
	NewSport Physical Therapy",,Laura Ward ,https://concussioncareproviders.com/listing/2711-east-coast-highway-206-corona-del-mar-ca/,"
	2711 East Coast Highway, #206, Corona Del Mar, California, USA"
"
	3 Dimensional Physical Therapy",https://3dpt.com/,Ryan McDevitt RN ,https://concussioncareproviders.com/listing/3-dimensional-physical-therapy-2/,"
	115 NJ 73 N, West Berlin, NJ 08009, United States"
"
	Abraham Lincoln Memorial Hospital",https://www.almh.org/,Kim Heitzig ,https://concussioncareproviders.com/listing/abraham-lincoln-memorial-hospital/,"
	1679 700th Ave, Lincoln, IL 62656, United States"
"
	3 Dimensional Physical Therapy",https://3dpt.com/,Kenneth Guzzardo RN ,https://concussioncareproviders.com/listing/3-dimensional-physical-therapy/,"
	175 Route 70 #19, Medford, NJ 08055, United States"
"
	Amity Physical Therapy",https://www.amitypt.com/,"Lindsay Richard, DPT ",https://concussioncareproviders.com/listing/amity-physical-therapy/,"
	2320 Whitney Avenue, Hamden, CT 06518, USA"
"
	21st Century Rehab, PC / Perry Community School District",https://www.21stcenturyrehab.com/,Clint Lutterman ,https://concussioncareproviders.com/listing/21st-century-rehab-pc-perry-community-school-district/,"
	610 10th St, Perry, IA 50220, United States"
"
	Apple Physical Therapy",http://applephysicaltherapy.net/,Alec Levin ,https://concussioncareproviders.com/listing/apple-physical-therapy/,"
	16 Rockhill Road, Cherry Hill, NJ 08003, USA"
"
	Arkansas State University",http://www.astate.edu/,Cristy Phillips ,https://concussioncareproviders.com/listing/arkansas-state-university/,"
	PO Box 910, Jonesboro, AR 72467, United States"
"
	Appalachia Intermediate Unit 8",https://www.iu08.org/,Kara Madara ,https://concussioncareproviders.com/listing/appalachia-intermediate-unit-8/,"
	4500 6th Avenue, Altoona, PA 16602, USA"
"
	Anchorage Spine and Physical Therapy",https://www.anchoragepttr.com/,Tiffany Puleio ,https://concussioncareproviders.com/listing/anchorage-spine-and-physical-therapy/,"
	199 Atsion Way, Toms River, NJ 08753, United States"
"
	Amery Hospital and Clinic",https://www.amerymedicalcenter.org/,"Nathan M Olson, PT, DPT ",https://concussioncareproviders.com/listing/amery-hospital-and-clinic/,"
	220 Keller Ave N, Amery, WI 54001, United States"
"
	Affiliated Community Medical Centers",https://www.carrishealth.com/,Tami Kobienia ,https://concussioncareproviders.com/listing/affiliated-community-medical-centers-3/,"
	1227 17th St SW, Willmar, MN 56201, United States"
"
	Alves and Martinez Physical Therapy and Athletic Performance",https://www.alvesmartinez.com/,Karma Johnson RN ,https://concussioncareproviders.com/listing/alves-and-martinez-physical-therapy-and-athletic-performance/,"
	9381 E Stockton Blve #104, Elk Grove, CA 95624, United States"
"
	Altitude Physical Therapy",https://www.altitudept.com/,Sean Weatherston ,https://concussioncareproviders.com/listing/altitude-physical-therapy/,"
	3151 E Greenhurst Rd, Nampa, ID 83686, United States"
"
	Amery Hospital & Clinic",https://www.amerymedicalcenter.org/,Anthony Gould ,https://concussioncareproviders.com/listing/amery-hospital-clinic/,"
	1364 4th Ave, Baldwin, WI 54002, United States"
"
	Twin Cities Orthopedics",https://tcomn.com/,"Brett Petersen, PT ",https://concussioncareproviders.com/listing/allina-health-system/,"
	4040 Radio Drive, Woodbury, MN 55129, USA"
"
	Agnesian Healthcare",http://www.agnesian.com/,Brooke Gardner ,https://concussioncareproviders.com/listing/agnesian-healthcare-2/,"
	421 Camelot Dr, Fond du Lac, WI 54935, United States"
"
	Ahlbin Rehabilitation Centers",https://www.bridgeporthospital.org/services/rehabilitation.aspx,Amanda Agalar ,https://concussioncareproviders.com/listing/ahlbin-rehabilitation-centers/,"
	3585 Main St, Stratford, CT 06614, United States"
"
	Advantage Sports Medicine and Physical Therapist",http://www.advantagesportsmedicine.net/,Sharon Lamb ,https://concussioncareproviders.com/listing/advantage-sports-medicine-and-physical-therapist/,"
	245 North St, Stoneham, MA 02180, United States"
"
	Advantage Sports Medicine",http://www.advantagesportsmedicine.net/,Lori Pires ,https://concussioncareproviders.com/listing/advantage-sports-medicine-2/,"
	275 Wellman Ave, North Chelmsford, MA 01863, United States"
"
	ADVANTAGE Sports Medicine",http://www.advantagesportsmedicine.net/,Joyce Lockert ,https://concussioncareproviders.com/listing/advantage-sports-medicine/,"
	245 North St, Stoneham, MA 02810, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Dan Sturgeon ,https://concussioncareproviders.com/listing/ati-physical-therapy-12/,"
	1004 Canyon Run Rd, Naperville, IL 60565, United States"
"
	ADVANCED PHYSICAL THERAPY CENTER",https://www.advancedphysicaltherapy.com/,Kristin Smith RN ,https://concussioncareproviders.com/listing/advanced-physical-therapy-center/,"
	10809 S Saginaw St, Grand Blanc, MI 48439, United States"
"
	Advanced Physical Therapy",https://physicaltherapyct.com/,Pamela Hubert ,https://concussioncareproviders.com/listing/advanced-physical-therapy/,"
	465 Wolcott Rd, Wolcott, CT 06716, United States"
"
	Advanced Physical Therapy Centers",https://www.advancedphysicaltherapy.com/,Christina Henriquez ,https://concussioncareproviders.com/listing/advanced-physical-therapy-centers/,"
	673 Leyland Court, Grand Blanc, MI 48439, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Christopher Deschand ,https://concussioncareproviders.com/listing/ati-physical-therapy-7/,"
	483 Highpoint Ct, Bourbonnais, IL 60914, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Jacqueline Davenport ,https://concussioncareproviders.com/listing/ati-physical-therapy-15/,"
	1305 South Suber Road, Greer, SC 29650, USA"
"
	ATI Physical Therapy",https://locations.atipt.com/,Aaron Henry ,https://concussioncareproviders.com/listing/ati-physical-therapy-14/,"
	972 Big Bend Station Dr, Manchester, MO 63088, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Elizabeth Dvorkin ,https://concussioncareproviders.com/listing/ati-physical-therapy-4/,"
	7329 W Braemar Ln, Frankfort, IL 60423, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Haley Stevenson ,https://concussioncareproviders.com/listing/ati-physical-therapy-13/,"
	714 Roslyn Ave., Glenside, PA 19038, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,David Dick ,https://concussioncareproviders.com/listing/ati-physical-therapy-10/,"
	2809 S. 51st st, Milwaukee, WI 53219, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Douglas Green ,https://concussioncareproviders.com/listing/ati-physical-therapy-11/,"
	54 Hearthstone Lane, Felton, DE 19943, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Christine Licata ,https://concussioncareproviders.com/listing/ati-physical-therapy-8/,"
	1430 N Cadwallader St Apt 3, Philadelphia, PA 19122, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,David Warner ,https://concussioncareproviders.com/listing/ati-physical-therapy-9/,"
	113 Diane Dr, Broomall, PA 19008, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Caitlin Wooldridge ,https://concussioncareproviders.com/listing/ati-physical-therapy-6/,"
	209 Foxmoor Rd, Fox River Grove, IL 60021, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Brandi Eloff ,https://concussioncareproviders.com/listing/ati-physical-therapy-5/,"
	6821 Udall Place SE #K102, Auburn, WA 98092, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Abigail Baldwin ,https://concussioncareproviders.com/listing/ati-physical-therapy-2/,"
	447 S Barrington Ct, Newark, DE 19702, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Alpa Buege ,https://concussioncareproviders.com/listing/ati-physical-therapy-3/,"
	1814 Wagner Farm Rd, Bel Air, MD 21015, United States"
"
	Ashley County Medical Center",https://www.acmconline.org/locations/ashley-county-medical-center/,Jacob Dorman ,https://concussioncareproviders.com/listing/ashley-county-medical-center/,"
	307 Smith St, Hamburg, AR 71646, United States"
"
	Ashlie Angel",,Ashlie Angel RN ,https://concussioncareproviders.com/listing/ashlie-angel/,"
	70 Jameson Dr, Durango, CO 81301, United States"
"
	ATI",https://locations.atipt.com/,Ashleigh Dunlap ,https://concussioncareproviders.com/listing/ati/,"
	144 Hall St, Bel Air, MD 21014, United States"
"
	Aspire PT & Wellness",https://aspireptandwellness.com/contact/,Stacy King ,https://concussioncareproviders.com/listing/aspire-pt-wellness/,"
	11013 Larkmeade Lane, POTOMAC, MD 20854, United States"
"
	Ashley Bowyer RN",,Ashley Bowyer RN ,https://concussioncareproviders.com/listing/ashley-bowyer-rn/,"
	933 Spring Meadow Dr, Durham, NC 27713, United States"
"
	Ascension Health",https://healthcare.ascension.org/,Doug Caylor RN School ,https://concussioncareproviders.com/listing/ascension-health/,"
	217 E Southway Blvd., Kokomo, IN 46902, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Erin Willoughby ,https://concussioncareproviders.com/listing/ati-physical-therapy-29/,"
	9455 Buchanan St, Crown Point, IN 46307, United States"
"
	Aurora BayCare Sports Medicine",https://www.aurorabaycare.com/,Jackie Goddard ,https://concussioncareproviders.com/listing/aurora-baycare-sports-medicine-3/,"
	1948 Quindalee Rd, De Pere, WI 54115, United States"
"
	Aurora Health Care",https://www.aurorahealthcare.org/,Wesley Elford ,https://concussioncareproviders.com/listing/aurora-health-care-2/,"
	N2255 County Rd I, Markesan, WI 53946, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Scott Kaylor ,https://concussioncareproviders.com/listing/ati-physical-therapy-31/,"
	602 Austin Woods Ct, Greer, SC 29651, United States"
"
	Aurora BayCare Sports Medicine",https://www.aurorabaycare.com/,Daniel Reznichek ,https://concussioncareproviders.com/listing/aurora-baycare-sports-medicine-2/,"
	2439 Oak Ridge Cir, De Pere, WI 54115, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Ryan Kardos ,https://concussioncareproviders.com/listing/ati-physical-therapy-30/,"
	22832 Sussex hwy, Seaford, DE 19973, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Sarah Frydrych ,https://concussioncareproviders.com/listing/ati-physical-therapy-28/,"
	2603 Creekside Dr, Newark, DE 19711, United States"
"
	Aurora Health Care",https://www.aurorahealthcare.org/,Erin Lamers ,https://concussioncareproviders.com/listing/aurora-health-care/,"
	855 N Westhaven Dr, Oshkosh, WI 54904, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Philip Beninato ,https://concussioncareproviders.com/listing/ati-physical-therapy-27/,"
	20 N. Newtown St Rd, Newtown Square, PA 19073, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Kristine Aquisap ,https://concussioncareproviders.com/listing/ati-physical-therapy-19/,"
	24 Lily Ct, Bolingbrook, IL 60440, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Michelle Carlin ,https://concussioncareproviders.com/listing/ati-physical-therapy-26/,"
	103 E Wells St AptB128, Baltimore, MD 21230, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Melissa Kocjancic ,https://concussioncareproviders.com/listing/ati-physical-therapy-24/,"
	4255 shady trail court Apt 102, naperville, IL 60564, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Meredith Tenerow ,https://concussioncareproviders.com/listing/ati-physical-therapy-25/,"
	1600 Washington St, Wilmington, DE 19802, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Mary Musheno ,https://concussioncareproviders.com/listing/ati-physical-therapy-23/,"
	506 Woodview Dr, Parkesburg, PA 19365, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Kristen Lewandowski ,https://concussioncareproviders.com/listing/ati-physical-therapy-20/,"
	17488 Slipper Shell Way #13, Lewes, DE 19958, United States"
"
	Live To Move Health & Wellness",https://live-to-move-health-and-wellness.business.site/,"Dante Leone, PT, DPT, OCS, ITPT, CSCS ",https://concussioncareproviders.com/listing/live-to-move-health-wellness/,"
	5113 Comanche Way, Madison, WI 53704, USA"
"
	ATI Physical Therapy",https://locations.atipt.com/,Lauren Beck ,https://concussioncareproviders.com/listing/ati-physical-therapy-21/,"
	602 Milford Court, Abingdon, MD 21009, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Katherine Monahan ,https://concussioncareproviders.com/listing/ati-physical-therapy-18/,"
	30 Split Oak Dr, Felton, DE 19943, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Jennifer Bates ,https://concussioncareproviders.com/listing/ati-physical-therapy-17/,"
	5800 Oakwood Dr 2A, Lisle, IL 60532, United States"
"
	ATI Physical Therapy",https://locations.atipt.com/,Jeff Bates ,https://concussioncareproviders.com/listing/ati-physical-therapy-16/,"
	657 kildonan court, bel air, MD 21015, United States"
